,BC_ALH_RES,BC_ALU_RES,BC_BR1_RES,BC_GMS_RES,BC_LDR_RES,BC_MCA_RES,BC_REV_RES,BC_SCA_RES,BC_SEV_RES,BC_SON_RES,BC_WGS_RES,BC_JHT_RES,BC_PCN_RES,BC_RUS_RES,BC_SFL_RES,BC_STC_RES
2021-11-26 07:00:00,192522.20178853115,11406.606812854487,71646.03180403575,1901370.7555707362,42534.264988843956,649009.3912648577,343681.5192150549,324254.43860347796,1079359.2412454984,35245.16771561003,12234.193497092889,0.0,0.0,0.0,0.0,0.0
2021-11-26 08:00:00,192201.05747107184,11129.811108363085,71806.52584741563,1902893.9490466919,42049.98078822112,649783.0988712853,343530.09415514534,288626.13655183726,1088782.2684421039,35230.61943145415,12235.402763815886,0.0,0.0,0.0,0.0,0.0
2021-11-26 09:00:00,192526.98144331248,10349.301490748241,71782.98691930612,1902834.4556007148,41615.47486735232,649634.0408265338,343748.49782212445,280896.6494869843,1091935.1081540852,35237.30798915929,12231.665982160019,0.0,0.0,0.0,0.0,0.0
2021-11-26 10:00:00,193583.10590153094,9694.477506331923,71800.38491239578,1902711.3520184944,41362.9289419253,650648.7141567217,343839.553811032,279541.8006782244,1107073.0535286916,35214.48006755715,12229.514838615114,0.0,0.0,0.0,0.0,0.0
2021-11-26 11:00:00,193705.47803114395,10004.965375370122,71761.62553087322,1902281.4171636123,41736.124563937956,649675.0096772407,343745.36850437586,275447.0308499855,1127209.204623413,35206.965530070156,12237.371385490216,0.0,0.0,0.0,0.0,0.0
2021-11-26 12:00:00,195284.8162127835,10142.489516024894,71973.902919683,1900336.885359023,42088.21151108846,649986.1821587761,343620.1936844296,268662.51111562137,1125314.2578951856,35206.28636609201,12236.662983548038,0.0,0.0,0.0,0.0,0.0
2021-11-26 13:00:00,203018.5482228833,10068.607586939117,72240.155307566,1900659.3872194998,42238.88830341987,649784.6740062132,343877.3890079464,263138.2251385393,1122720.9552159985,35192.723272001705,12256.776179335571,0.0,0.0,0.0,0.0,0.0
2021-11-26 14:00:00,206677.83088915184,10234.345643141276,71949.18746394708,1901010.614109365,41963.44065342919,649310.751704648,343840.8551984335,261222.67617816414,1121302.1771133805,35193.30660334776,12268.660729750061,0.0,0.0,0.0,0.0,0.0
2021-11-26 15:00:00,202535.21758985057,9735.312101519281,71830.02152829428,1900714.3647541262,41707.32258827221,648527.457089547,343616.9685374962,255073.13973568607,1126026.1111513423,35169.188356896906,12290.203278424944,0.0,0.0,0.0,0.0,0.0
2021-11-26 16:00:00,201675.34193445308,9993.454260021332,71858.7020668282,1899638.8208496547,41390.03566136157,648651.1884977068,343631.69697409286,251186.3396215494,1145984.4990193844,35152.09668194671,12265.893750914762,0.0,0.0,0.0,0.0,0.0
2021-11-26 17:00:00,195051.8087253996,9815.7940493961,71562.50363603682,1899597.766506581,40522.87505506794,648272.9928167809,343276.9631659488,248620.41279409683,1155741.461626587,35168.7070508322,12264.845363517035,0.0,0.0,0.0,0.0,0.0
2021-11-26 18:00:00,194884.82125629362,9619.693176157769,71607.90279306997,1900898.9888025639,40276.47887779653,648692.1857878307,342931.80823658186,244466.5592391621,1153389.3106178779,35172.658425995236,12260.28791673107,0.0,0.0,0.0,0.0,0.0
2021-11-26 19:00:00,197754.3026458859,9161.382604383632,71607.90279306997,1901479.5604494396,40654.28679231468,648465.862299123,343052.61123207945,242395.02709019344,1125125.2899900938,35161.57251250982,12292.292590165163,0.0,0.0,0.0,0.0,0.0
