asset_id,component_id,connecting_node_code,num_of_units,latitude,longitude,capacity,capacity_factor,annual_avg_energy,p_min,nominal_head,max_spill,max_water_discharge,min_water_discharge,gen_type,cascade_group,cascade_order,upper_reservoir_id,lower_reservoir_id,max_level,min_level,min_storage,max_storage,ramp_up,ramp_down,min_up,min_down,min_gen,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,start_up_cost_cold,shutdown_cost,typical_plant_size_MW,capital_cost_CAD_per_kW,service_life_years,fixed_om_cost_CAD_per_MWyear,variable_om_cost_CAD_per_MWh,average_fuel_price_CAD_per_MMBtu,carbon_emissions_tCO2eq_per_MWh,start_year,closure_year,hydro_type,sources
BC_EDR_DSS,BC_EDR00_GEN,BC_DUC_DSS,1,50.019015,-119.358938,1.1,DEFAULT,4.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,0.165,0.165,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,2008,,ror,
BC_ELK_GSS,BC_ELK01_GEN,BC_ELK_GSS,2,49.290067,-115.104613,11.2,DEFAULT,60.04,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,,,,,DEFAULT,DEFAULT,0.84,0.84,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1924,,ror,
BC_ETR_GSS,BC_ETR00_GEN,BC_ETR_GSS,2,50.675081,-123.960276,147.3,DEFAULT,732.07,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2010,,ror,
BC_ETW_DSS,BC_ETW00_GEN,BC_REG_DSS,1,53.458136,-120.383395,1.6,DEFAULT,6.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,1991,,ror,
BC_FKR_GSS,BC_FKR01_GEN,BC_FKR_GSS,9,56.717162,-130.686601,195.29999999999998,DEFAULT,935.1,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2014,,ror,
BC_FLS_GSS,BC_FLS01_GEN,BC_FLS_GSS,2,53.983531,-129.734244,7.0,DEFAULT,32.7,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,,,,,DEFAULT,DEFAULT,0.525,0.525,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1930,,ror,
BC_FRE_GSS,BC_FRE00_GEN,BC_FRE_GSS,1,49.783363,-122.234664,25.28,DEFAULT,125.64,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2009,,ror,
BC_FRI_GSS,BC_FRI00_GEN,BC_FRI_GSS,1,49.579288,-123.201977,10.4,DEFAULT,39.5,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2004,,ror,
BC_FZC_DSS,BC_FZC00_GEN,BC_CKY_DSS,1,50.105636,-122.944814,7.9,DEFAULT,36.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2010,,ror,
BC_GMS_GSS,BC_GMS01_GEN,BC_GMS_GSS,10,56.014797,-122.195744,3050.0,DEFAULT,16047.45,DEFAULT,DEFAULT,9200.0,1968.02,0,hydro_monthly,Peace,1,BC_GMS_RES,BC_PCN_RES,672.08,642.03,DEFAULT,DEFAULT,45.75,45.75,1.0,1.0,,0.2,0.05,0.1,0,0.0,700,8710.0,100,16009,2.0,0.0,0.0,1968,,reservoir,
BC_HAA_GSS,BC_HAA00_GEN,BC_HAS_GSS,1,49.247923,-125.38367,6.0,DEFAULT,20.5,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2015,,ror,
BC_HAC_DSS,BC_HAC00_GEN,BC_REG_DSS,1,52.934167,-119.456183,2.4,DEFAULT,12.5,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2007,,ror,
BC_HNC_DSS,BC_HNC00_GEN,BC_HOP_DSS,1,49.364824,-121.571363,11.0,DEFAULT,37.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2018,,ror,
BC_HYS_DSS,BC_HYS00_GEN,BC_VLM_DSS,1,52.841271,-119.352397,5.7,DEFAULT,20.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2002,,ror,
BC_JHT_GSS,BC_JHT01_GEN,BC_JHT_GSS,3,50.044,-125.310893,138.0,DEFAULT,400.33,DEFAULT,DEFAULT,1238.0,124.0,0,hydro_daily,Campbell,3,BC_JHT_RES,,140.06,133.43,DEFAULT,DEFAULT,6.8999999999999995,6.8999999999999995,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,2021,,reservoir-impute,
