,name,x,y,type,v_nom,substation_type
331,63_WST_DSS,-117.738027,49.336884,ac,63,DSS
332,63_NLS_DSS,-117.296229,49.493375,ac,63,DSS
333,63_YMR_DSS,-117.225007,49.286782,ac,63,DSS
334,63_COT_DSS,-117.247544,49.427927,ac,63,DSS
335,63_RSM_DSS,-117.302945,49.484547,ac,63,DSS
336,63_UBO_GSS,-117.484182,49.460113,ac,63,GSS
337,230_PEM_JCT,-122.804413,50.321893,ac,230,JCT
338,230_BRT_TSS,-122.252330,50.725620,ac,230,TSS
339,230_TIS_DSS,-122.859303,50.279475,ac,230,DSS
340,230_FCN_DSS,-123.034464,50.090404,ac,230,DSS
341,230_RBW_JCT,-122.954513,50.132830,ac,230,JCT
342,230_PEM_DSS,-122.804413,50.321893,ac,230,DSS
343,230_RBW_DSS,-122.954513,50.132830,ac,230,DSS
344,230_CKY_DSS,-123.160951,49.790166,ac,230,DSS
345,230_RUT_JCT,-122.866954,50.272697,ac,230,JCT
346,230_RUT_GSS,-122.866954,50.272697,ac,230,GSS
347,230_WLT_DSS,-123.026066,49.310017,ac,230,DSS
348,230_HPN_DSS,-123.017942,49.266802,ac,230,DSS
349,230_CAM_JCT,-123.063075,49.190898,ac,230,JCT
350,230_CAM_DSS,-123.063075,49.190898,ac,230,DSS
351,230_ING_DSS,-122.873948,49.158898,ac,230,DSS
352,230_KI2_DSS,-123.115357,49.198157,ac,230,DSS
353,230_SYH_JCT,-122.875167,49.136398,ac,230,JCT
354,230_ARN_DSS,-123.041678,49.092139,ac,230,DSS
355,230_SYH_DSS,-122.875167,49.136398,ac,230,DSS
356,230_LYN_DSS,-123.044226,49.328014,ac,230,DSS
357,230_BSY_TSS,-122.890825,49.299059,ac,230,TSS
358,230_ASL_JCT,-123.325032,49.914338,ac,230,JCT
359,230_CMS_GSS,-123.290985,49.933702,ac,230,GSS
360,230_ASL_GSS,-123.325032,49.914338,ac,230,GSS
361,230_CYP_DSS,-123.232133,49.356864,ac,230,DSS
362,230_BR1_GSS,-122.240038,50.729850,ac,230,GSS
363,230_CSQ_DSS,-123.115545,49.282561,ac,230,DSS
364,230_MPT_DSS,-123.111687,49.265491,ac,230,DSS
365,230_MDN_DSS,-122.806744,49.309694,ac,230,DSS
366,230_WHY_DSS,-122.836612,49.190124,ac,230,DSS
367,230_JMC_GSS,-124.024891,50.604008,ac,230,GSS
368,230_ETR_GSS,-123.960276,50.675081,ac,230,GSS
369,230_PSY_TSS,-124.176334,49.787741,ac,230,TSS
370,230_SAY_DSS,-124.177210,49.787100,ac,230,DSS
371,230_MTC_GSS,-124.187332,50.623136,ac,230,GSS
372,230_MUR_DSS,-123.101318,49.277984,ac,230,DSS
373,230_COK_DSS,-122.797013,49.262255,ac,230,DSS
374,230_NEL_DSS,-122.962930,49.217765,ac,230,DSS
375,230_BND_DSS,-122.900721,49.262113,ac,230,DSS
376,230_BDH_JCT,-123.405928,50.635524,ac,230,JCT
377,230_ULR_GSS,-123.447636,50.657000,ac,230,GSS
378,230_BDH_GSS,-123.405928,50.635524,ac,230,GSS
379,230_SPG_DSS,-123.152465,49.249670,ac,230,DSS
380,230_CSN_DSS,-123.197669,49.249427,ac,230,DSS
381,230_MSA_DSS,-123.960396,49.668833,ac,230,DSS
382,230_HSP_ISS,-123.489978,49.523649,ac,230,ISS
383,230_MAN_DSS,-123.079088,49.226829,ac,230,DSS
384,230_STV_DSS,-123.146856,49.132579,ac,230,DSS
385,230_FLW_DSS,-122.787696,49.137377,ac,230,DSS
386,230_MLN_DSS,-122.682448,49.098957,ac,230,DSS
387,230_MLE_DSS,-122.391564,49.068673,ac,230,DSS
388,230_CBN_DSS,-122.297098,49.069045,ac,230,DSS
389,230_ALZ_DSS,-122.009320,49.113555,ac,230,DSS
390,230_ROS_DSS,-121.775529,49.176415,ac,230,DSS
391,230_KLY_DSS,-121.739126,51.024755,ac,230,DSS
392,230_HMH_DSS,-121.284830,51.657461,ac,230,DSS
393,230_SVA_DSS,-120.800520,50.754923,ac,230,DSS
394,230_SCK_DSS,-122.215540,52.305565,ac,230,DSS
395,230_RBF_DSS,-122.466134,52.979769,ac,230,DSS
396,230_BLW_DSS,-122.429605,53.020438,ac,230,DSS
397,230_WSN_DSS,-122.608969,53.850230,ac,230,DSS
398,230_SVY_DSS,-122.621031,54.144222,ac,230,DSS
399,230_MIN_DSS,-128.709788,54.032377,ac,230,DSS
400,230_SKA_DSS,-128.632826,54.452280,ac,230,DSS
