,transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,summer_capacity,winter_capacity,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes
5814,29170,1L210,BC Hydro,BC,British Columbia,1,ac,20.000,12.346,192.500,118.827,138,83.46,106,135,Blackpool JCT,BC_BLP_JCT,Clearwater JCT,BC_CLW_JCT,NULL
5815,29171,1L210,BC Hydro,BC,British Columbia,1,ac,25.000,15.432,192.500,118.827,138,83.46,104,134,Barriere JCT,BC_BAR_JCT,Darfield JCT,BC_DFD_JCT,NULL
5816,29172,1L210,BC Hydro,BC,British Columbia,1,ac,0.500,0.309,192.500,118.827,138,83.46,104,134,Tolko Industries Heffley JCT,BC_TOK_JCT,Heffley JCT,BC_HFY_JCT,NULL
5817,29173,1L210,BC Hydro,BC,British Columbia,1,ac,17.000,10.494,192.500,118.827,138,83.46,106,135,Brocklehurst,BC_BKL_DSS,Tolko Industries Heffley JCT,BC_TOK_JCT,NULL
5818,29174,1L210,BC Hydro,BC,British Columbia,1,ac,20.000,12.346,192.500,118.827,138,83.46,55,105,Vavenby JCT,BC_VBY_JCT,TransMountain McMurphy JCT,BC_TMM_JCT,NULL
5819,29175,1L210,BC Hydro,BC,British Columbia,1,ac,25.000,15.432,192.500,118.827,138,83.46,106,135,Clearwater JCT,BC_CLW_JCT,Vavenby JCT,BC_VBY_JCT,NULL
5820,29176,1L210AVO,BC Hydro,BC,British Columbia,1,ac,0.040,0.025,0.040,0.025,138,0.02,141,156,Avola JCT,BC_AVO_JCT,Avola,BC_AVO_DSS,NULL
5821,29177,1L210BAR,BC Hydro,BC,British Columbia,1,ac,0.160,0.099,0.160,0.099,138,0.07,106,135,Barriere JCT,BC_BAR_JCT,Barriere,BC_BAR_DSS,NULL
5822,29178,1L210BLP,BC Hydro,BC,British Columbia,1,ac,0.474,0.293,0.474,0.293,138,0.21,55,105,Blackpool JCT,BC_BLP_JCT,Blackpool,BC_BLP_DSS,NULL
5823,29179,1L210CLW,BC Hydro,BC,British Columbia,1,ac,1.287,0.794,1.287,0.794,138,0.56,104,134,Clearwater JCT,BC_CLW_JCT,Clearwater,BC_CLW_DSS,NULL
