name,x,y,type,v_nom
138_KWD_DSS,-120.399903,50.68579,138kV,138
138_ABA_JCT,-119.192804,52.660152,138kV,138
138_CPL_JCT,-119.176882,52.388424,138kV,138
138_ABA_DSS,-119.192804,52.660152,138kV,138
138_BNC_GSS,-119.181158,52.255604,138kV,138
138_CPL_DSS,-119.176882,52.388424,138kV,138
138_STM_JCT,-120.447101,50.325516,138kV,138
138_NIC_TSS,-120.389839,50.180236,138kV,138
138_STM_ISS,-120.447101,50.325516,138kV,138
138_BDM_JCT,-119.994568,49.870395,138kV,138
138_WBK_DSS,-119.619277,49.848423,138kV,138
138_PSW_JCT,-120.112522,49.913042,138kV,138
138_BDM_ISS,-119.994568,49.870395,138kV,138
138_PSW_GSS,-120.112522,49.913042,138kV,138
138_WGS_GSS,-118.071998,49.91072,138kV,138
138_MIG_GSS,-120.795714,50.097098,138kV,138
138_MRT_DSS,-120.773215,50.119315,138kV,138
138_CUM_JCT,-120.508894,49.345911,138kV,138
138_SCO_DSS,-120.551645,49.353063,138kV,138
138_KPS_JCT,-120.911715,49.933977,138kV,138
138_PRI_JCT,-120.501984,49.457266,138kV,138
138_CUM_DSS,-120.508894,49.345911,138kV,138
138_KPS_ISS,-120.911715,49.933977,138kV,138
138_BCK_ISS,-114.942938,50.247937,138kV,138
138_ABBC03_IPT,-114.2,50.247937,138kV,138
138_EFD_JCT,-114.925628,50.028575,138kV,138
138_GRH_JCT,-114.856124,50.059161,138kV,138
138_LCC_JCT,-114.850924,49.884134,138kV,138
138_NTL_DSS,-114.858257,49.735535,138kV,138
138_EFD_DSS,-114.925628,50.028575,138kV,138
138_FRO_ISS,-114.886013,50.196556,138kV,138
138_GRH_ISS,-114.856124,50.059161,138kV,138
138_LCC_ISS,-114.850924,49.884134,138kV,138
138_ABBC01_IPT,-114.6,49.735535,138kV,138
138_E15_JCT,-120.569205,55.880813,138kV,138
138_KIS_ISS,-120.560488,55.877658,138kV,138
138_E42_JCT,-120.528629,55.786875,138kV,138
138_E15_ISS,-120.569205,55.880813,138kV,138
138_E42_ISS,-120.528629,55.786875,138kV,138
138_BMT_DSS,-120.446507,55.763714,138kV,138
138_DAW_DSS,-120.264721,55.778877,138kV,138
138_CWD_DSS,-121.63062,55.702259,138kV,138
138_SLS_DSS,-121.351887,55.714085,138kV,138
138_TPW_ISS,-120.504799,55.640221,138kV,138
138_BMW_GSS,-120.426694,55.704384,138kV,138
138_NL5_JCT,-120.43237,55.414509,138kV,138
138_NL3_JCT,-120.356588,55.344119,138kV,138
138_NL2_ISS,-120.253925,55.278186,138kV,138
138_NL3_ISS,-120.356588,55.344119,138kV,138
