Line,type,bus0,bus1,length,v_nom,s_nom,x,r,g,b,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
JRI_JCT_JRI_DSS,500,69_JRI_JCT,69_JRI_DSS,0.418,69,60.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JRI_JCT_VDK_JCT,870,69_JRI_JCT,GreaterVancouver,1.0,69,104.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTO_JCT_LBY_JCT,500,Squamish-Lillooet,GreaterVancouver,7.0,69,60.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT_TSS_WWD_JCT,230,NorthOkanagan,Thompson-Nicola,60.0,69,27.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPN_JCT_PSN_JCT,401,EastKootenay,Columbia-Shuswap,25.0,69,48.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMH_JCT_AWL_JCT,265,Thompson-Nicola,Cariboo,40.0,69,32.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSN_DSS_PMB_JCT,310,Fraser-FortGeorge,Cariboo,55.0,69,37.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPR_JCT_VDF_JCT,280,Fraser-FortGeorge,Bulkley-Nechako,60.0,69,33.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HER_DSS_SLM_DSS,730,KootenayBoundary,CentralKootenay,17.5,63,33.3333,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN_TSS_GFT_TSS,635,Okanagan-Similkameen,KootenayBoundary,47.5,161,214.4444,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JRH_DSS_BWS_DSS,635,CentralOkanagan,KootenayBoundary,36.0,138,156.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHS_TSS_NLY_DSS,1055,KootenayBoundary,CentralKootenay,20.0,230,446.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLY_DSS_BCUS2_INT_2,1055,CentralKootenay,230_BCUS2_INT,1.0,230,500.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEE_TSS_VNT_TSS_1,1055,CentralOkanagan,NorthOkanagan,42.5,230,446.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGB_DSS_RGA_DSS,1055,CentralOkanagan,Okanagan-Similkameen,42.5,230,446.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEE_TSS_VNT_TSS_2,1055,CentralOkanagan,NorthOkanagan,42.5,230,446.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WTS_DSS_BTS_TSS,1055,KootenayBoundary,CentralKootenay,25.0,230,446.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS_TSS_SEL_TSS,1055,CentralKootenay,KootenayBoundary,35.0,230,446.6667,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
